--- Análisis de la IA para la ruleta ---

Jugadas totales: 100000

Historial de jugadas (últimas 1000):
Paso: 99076, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12442.00
Paso: 99077, Acción (apuesta): 3, Recompensa: 2.00, Saldo: -12444.00
Paso: 99078, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12446.00
Paso: 99079, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12442.00
Paso: 99080, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12441.00
Paso: 99081, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12443.00
Paso: 99082, Acción (apuesta): 0, Recompensa: 1.00, Saldo: -12441.00
Paso: 99083, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12444.00
Paso: 99084, Acción (apuesta): 0, Recompensa: 1.00, Saldo: -12443.00
Paso: 99085, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12446.00
Paso: 99086, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12451.00
Paso: 99087, Acción (apuesta): 3, Recompensa: 2.00, Saldo: -12450.00
Paso: 99088, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12455.00
Paso: 99089, Acción (apuesta): 1, Recompensa: 1.00, Saldo: -12455.00
Paso: 99090, Acción (apuesta): 8, Recompensa: 3.50, Saldo: -12453.50
Paso: 99091, Acción (apuesta): 0, Recompensa: 1.00, Saldo: -12452.00
Paso: 99092, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12448.00
Paso: 99093, Acción (apuesta): 8, Recompensa: 3.50, Saldo: -12439.50
Paso: 99094, Acción (apuesta): 6, Recompensa: 2.00, Saldo: -12433.00
Paso: 99095, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12438.00
Paso: 99096, Acción (apuesta): 8, Recompensa: 3.50, Saldo: -12432.50
Paso: 99097, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12437.50
Paso: 99098, Acción (apuesta): 2, Recompensa: 2.00, Saldo: -12433.50
Paso: 99099, Acción (apuesta): 4, Recompensa: -1.00, Saldo: -12438.50
Paso: 99100, Acción (apuesta): 4, Recompensa: 2.00, Saldo: -12428.50
Paso: 99101, Acción (apuesta): 7, Recompensa: 2.00, Saldo: -12430.50
Paso: 99102, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12432.50
Paso: 99103, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12431.50
Paso: 99104, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12427.50
Paso: 99105, Acción (apuesta): 0, Recompensa: 1.00, Saldo: -12427.50
Paso: 99106, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12428.50
Paso: 99107, Acción (apuesta): 8, Recompensa: 3.50, Saldo: -12424.50
Paso: 99108, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12429.50
Paso: 99109, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12431.50
Paso: 99110, Acción (apuesta): 2, Recompensa: 2.00, Saldo: -12433.50
Paso: 99111, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12438.50
Paso: 99112, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12437.50
Paso: 99113, Acción (apuesta): 5, Recompensa: 2.00, Saldo: -12439.50
Paso: 99114, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12444.50
Paso: 99115, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12449.50
Paso: 99116, Acción (apuesta): 4, Recompensa: -1.00, Saldo: -12454.50
Paso: 99117, Acción (apuesta): 4, Recompensa: 2.00, Saldo: -12450.50
Paso: 99118, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12452.50
Paso: 99119, Acción (apuesta): 8, Recompensa: 3.50, Saldo: -12435.00
Paso: 99120, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12440.00
Paso: 99121, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12445.00
Paso: 99122, Acción (apuesta): 1, Recompensa: -1.00, Saldo: -12441.00
Paso: 99123, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12444.00
Paso: 99124, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12377.00
Paso: 99125, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12382.00
Paso: 99126, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12387.00
Paso: 99127, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12392.00
Paso: 99128, Acción (apuesta): 2, Recompensa: 2.00, Saldo: -12391.00
Paso: 99129, Acción (apuesta): 2, Recompensa: 2.00, Saldo: -12387.00
Paso: 99130, Acción (apuesta): 2, Recompensa: 2.00, Saldo: -12383.00
Paso: 99131, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12382.00
Paso: 99132, Acción (apuesta): 0, Recompensa: -1.00, Saldo: -12381.00
Paso: 99133, Acción (apuesta): 1, Recompensa: 1.00, Saldo: -12382.00
Paso: 99134, Acción (apuesta): 1, Recompensa: -1.00, Saldo: -12384.00
Paso: 99135, Acción (apuesta): 6, Recompensa: 2.00, Saldo: -12386.00
Paso: 99136, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12388.00
Paso: 99137, Acción (apuesta): 5, Recompensa: 2.00, Saldo: -12390.00
Paso: 99138, Acción (apuesta): 4, Recompensa: -1.00, Saldo: -12395.00
Paso: 99139, Acción (apuesta): 4, Recompensa: 2.00, Saldo: -12388.00
Paso: 99140, Acción (apuesta): 7, Recompensa: 2.00, Saldo: -12387.00
Paso: 99141, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12392.00
Paso: 99142, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12394.00
Paso: 99143, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12399.00
Paso: 99144, Acción (apuesta): 2, Recompensa: -1.00, Saldo: -12399.00
Paso: 99145, Acción (apuesta): 5, Recompensa: 2.00, Saldo: -12401.00
Paso: 99146, Acción (apuesta): 6, Recompensa: 2.00, Saldo: -12398.00
Paso: 99147, Acción (apuesta): 7, Recompensa: 2.00, Saldo: -12397.00
Paso: 99148, Acción (apuesta): 7, Recompensa: 2.00, Saldo: -12396.00
Paso: 99149, Acción (apuesta): 1, Recompensa: 1.00, Saldo: -12399.00
Paso: 99150, Acción (apuesta): 1, Recompensa: -1.00, Saldo: -12404.00
Paso: 99151, Acción (apuesta): 1, Recompensa: -1.00, Saldo: -12405.00
Paso: 99152, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12404.00
Paso: 99153, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12403.00
Paso: 99154, Acción (apuesta): 9, Recompensa: -1.00, Saldo: -12408.00
Paso: 99155, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12413.00
Paso: 99156, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12415.00
Paso: 99157, Acción (apuesta): 6, Recompensa: 2.00, Saldo: -12411.00
Paso: 99158, Acción (apuesta): 8, Recompensa: 3.50, Saldo: -12408.50
Paso: 99159, Acción (apuesta): 0, Recompensa: 1.00, Saldo: -12407.00
Paso: 99160, Acción (apuesta): 0, Recompensa: 1.00, Saldo: -12404.00
Paso: 99161, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12407.00
Paso: 99162, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12406.00
Paso: 99163, Acción (apuesta): 3, Recompensa: 2.00, Saldo: -12408.00
Paso: 99164, Acción (apuesta): 3, Recompensa: 2.00, Saldo: -12410.00
Paso: 99165, Acción (apuesta): 3, Recompensa: -1.00, Saldo: -12406.00
Paso: 99166, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12408.00
Paso: 99167, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12413.00
Paso: 99168, Acción (apuesta): 8, Recompensa: -1.00, Saldo: -12413.50
Paso: 99169, Acción (apuesta): 6, Recompensa: 2.00, Saldo: -12415.50
Paso: 99170, Acción (apuesta): 6, Recompensa: -1.00, Saldo: -12414.50
Paso: 99171, Acción (apuesta): 5, Recompensa: -1.00, Saldo: -12416.50
Paso: 99172, Acción (apuesta): 7, Recompensa: -1.00, Saldo: -12418.50
Paso: 99173, Acción (apuesta): 7, Recompensa: 2.00, Saldo: -12414.50
